Timestamp (UTC+12:00),Air Temp (°C),Relative Humidity (%),Solar Radiation (W/m²),Wind Direction (°),Wind Speed (m/s),NO (µg/m³),NO2 (µg/m³),SO2 (µg/m³),PM2.5 (µg/m³),PM2.5_Lag1 (µg/m³),PM2.5_Lag2 (µg/m³)
1/01/2016 0:00,19,70.1,0.5,68,4,0.7,0.7,0.5,12,9.7,7.7
1/01/2016 1:00,19,72.1,0.7,72,3.7,0.5,1.1,0.3,21,12,9.7
1/01/2016 2:00,19,70.2,0.8,72,4.4,0.7,0.5,0.3,17.8,21,12
1/01/2016 3:00,19,70.2,0.7,72,3.8,,,0.4,10.6,17.8,21
1/01/2016 4:00,19,69.6,1.1,71,3.9,0.3,0.4,0,8.9,10.6,17.8
1/01/2016 5:00,18,70.2,1.1,70,4.2,0.3,0.4,0.2,10.5,8.9,10.6
1/01/2016 6:00,18,71.5,9.3,69,3.5,0.5,0.4,0.4,9.8,10.5,8.9
1/01/2016 7:00,19,72.4,33.6,66,4.2,0.6,0.5,0.5,12.6,9.8,10.5
1/01/2016 8:00,18,74.2,35.7,63,4.7,0.3,1,0.4,14.4,12.6,9.8
1/01/2016 9:00,17,88.4,31.8,60,4,0.3,1.1,0.2,8,14.4,12.6
1/01/2016 10:00,16,90.9,63.2,60,4.7,0.8,0.9,0.1,,8,14.4
1/01/2016 11:00,16,94.8,68.6,66,3.6,0.7,1.3,0.2,,,8
1/01/2016 12:00,16,94.3,86.1,66,3.5,0.5,1.5,0.1,,,
1/01/2016 13:00,17,93.7,104.3,74,3.4,0.5,1.9,0.1,6.2,,
1/01/2016 14:00,17,90.5,210.4,69,3.7,0.6,1.7,0.3,1.4,6.2,
1/01/2016 15:00,18,85.2,132.7,71,4.1,0.6,1.6,0.2,8.2,1.4,6.2
1/01/2016 16:00,17,89.9,130.3,65,4.6,0.7,1.5,0.1,10.2,8.2,1.4
1/01/2016 17:00,18,90,82.1,62,4.1,0.6,1.5,0.2,4.5,10.2,8.2
1/01/2016 18:00,18,88.7,29.6,62,4.1,0.5,1.4,0.1,3.5,4.5,10.2
1/01/2016 19:00,18,89.6,18,61,4.8,0.5,1.1,0.2,2.1,3.5,4.5
1/01/2016 20:00,18,90.6,2.2,59,4.3,0.5,1.2,0.2,4.7,2.1,3.5
1/01/2016 21:00,18,92,0.4,64,3.6,0.5,1.2,0.2,-0.1,4.7,2.1
1/01/2016 22:00,18,93.4,0.4,60,2.4,0.5,1.1,0.1,4.9,-0.1,4.7
1/01/2016 23:00,18,92.2,0.2,45,3.9,0.6,0.8,0.1,4.7,4.9,-0.1
2/01/2016 0:00,18,92.4,0.7,39,5.2,0.2,0.4,0.1,1.7,4.7,4.9
2/01/2016 1:00,18,93.9,0.4,32,4.5,0.5,0.4,0.1,18.7,1.7,4.7
2/01/2016 2:00,18,94.1,0.3,35,4.9,0.4,0.5,0.1,7.7,18.7,1.7
2/01/2016 3:00,18,94.6,0.4,37,4.5,0.4,0.7,0.1,2.7,7.7,18.7
2/01/2016 4:00,18,95.2,0.8,38,4.2,0.4,1.2,,7.4,2.7,7.7
2/01/2016 5:00,18,95.1,0.7,39,4.5,0.3,0.6,0.3,5.4,7.4,2.7
2/01/2016 6:00,18,94.9,7.6,39,4.5,0.4,0.5,0.5,7.2,5.4,7.4
2/01/2016 7:00,18,93.8,27.6,44,4.1,0.7,1.2,0.5,3.4,7.2,5.4
2/01/2016 8:00,18,93.9,50,40,3.6,0.7,1.4,0.5,7.4,3.4,7.2
2/01/2016 9:00,17,93.9,73.4,49,4.1,0.6,1.7,0.5,1.1,7.4,3.4
2/01/2016 10:00,17,92.8,111.6,50,4.4,0.6,1.6,0.4,4.6,1.1,7.4
2/01/2016 11:00,17,91.2,165.7,51,4.5,0.9,2.1,0.5,5.1,4.6,1.1
2/01/2016 12:00,17,91.7,133.8,50,4.3,0.8,2,0.4,3.9,5.1,4.6
2/01/2016 13:00,17,91.1,99.1,50,4.3,0.6,1.8,0.6,1.8,3.9,5.1
2/01/2016 14:00,17,91.8,163.3,50,3.9,0.9,1.8,0.5,4.6,1.8,3.9
2/01/2016 15:00,17,93.7,105.7,46,4.2,0.9,2,0.7,3.6,4.6,1.8
2/01/2016 16:00,17,95.3,102.4,49,4.1,0.9,1.9,0.6,4.1,3.6,4.6
2/01/2016 17:00,17,94.5,50.4,56,3.9,0.7,2,0.6,3.3,4.1,3.6
2/01/2016 18:00,17,94,21.7,48,2.7,0.8,2.4,0.6,3.5,3.3,4.1
2/01/2016 19:00,18,95.1,14,39,3.1,0.7,2,0.5,5.6,3.5,3.3
2/01/2016 20:00,18,96.7,3,50,2.9,0.7,1.7,0.4,4.4,5.6,3.5
2/01/2016 21:00,18,97.3,0.3,48,2.7,0.6,1.4,0.5,3.5,4.4,5.6
2/01/2016 22:00,18,97.7,0.3,52,2.3,0.7,1.4,0.6,1.5,3.5,4.4
2/01/2016 23:00,18,98,0.4,43,1.8,0.7,1.5,0.7,0.8,1.5,3.5
